collection_id,collection_name,doi,dataset_id,cell_count,species,tissue,disease,assay,suspension,matched_cell_types,all_cell_types,_tier_1,_tier_2,_tier_3,_tier_4,_tier_count,assets,collection_url
43b45a20-a969-49ac-a8e8-8c84b211bd01,Integrated adult and foetal heart single-cell RNA sequencing,10.1038/s44161-022-00183-w,5500c673-1610-40a0-86d9-64d987ae50e6,60668,Homo sapiens,apex of heart|basal zone of heart|heart left ventricle|heart right ventricle|interventricular septum|left cardiac atrium|right cardiac atrium,normal,10x 3' v2|10x 3' v3,cell|nucleus,neuron,adipocyte|capillary endothelial cell|cardiac mesenchymal cell|cardiac muscle cell|endocardial cell|endothelial cell|endothelial cell of artery|fetal cardiomyocyte|fibroblast|innate lymphoid cell|mesothelial cell of epicardium|myeloid cell|neuron|pericyte|smooth muscle cell|unknown|vein endothelial cell,Neuron (generic),,,,1,https://datasets.cellxgene.cziscience.com/85f6cdae-10c2-4c97-8a95-cf03f87ecd2e.h5ad,https://cellxgene.cziscience.com/collections/43b45a20-a969-49ac-a8e8-8c84b211bd01
e276e3e2-197a-4524-abd1-a753a48dc33a,Human Lung Allografts Experience Persistent Fibrogenic Shift Following Acute Cellular Rejection,10.1016/j.healun.2026.02.1666,10c0c666-bd99-4a5c-b697-f1be835f5427,56676,Homo sapiens,lung,acute graft versus host disease|normal,10x 3' v3|10x 5' v1|10x 5' v2,cell,neuroendocrine cell,"CD141-positive myeloid dendritic cell|CD1c-positive myeloid dendritic cell|T cell|T follicular helper cell|alveolar adventitial fibroblast|alveolar capillary type 2 endothelial cell|alveolar type 1 fibroblast cell|basal cell|capillary endothelial cell|ciliated epithelial cell|classical monocyte|club cell|dendritic cell|effector T cell|endothelial cell of artery|endothelial cell of lymphatic vessel|exhausted T cell|fibroblast|gamma-delta T cell|goblet cell|helper T cell|innate lymphoid cell|intermediate monocyte|ionocyte|lung resident memory CD8-positive, CD103-positive, alpha-beta T cell|macrophage|mast cell|memory B cell|mesothelial cell|microvascular endothelial cell|mucosal-associated invariant T cell|mucus secreting cell|myofibroblast cell|naive B cell|naive thymus-derived CD4-positive, alpha-beta T cell|naive thymus-derived CD8-positive, alpha-beta T cell|natural killer cell|neuroendocrine cell|neutrophil|non-classical monocyte|pericyte|plasma cell|plasmacytoid dendritic cell|platelet|progenitor cell|pulmonary alveolar type 1 cell|pulmonary alveolar type 2 cell|regulatory T cell|serous secreting cell|smooth muscle cell|vein endothelial cell",,,,Neuroendocrine cell,1,https://datasets.cellxgene.cziscience.com/af6e81be-e65c-4821-987e-e0eb6c8acd59.h5ad,https://cellxgene.cziscience.com/collections/e276e3e2-197a-4524-abd1-a753a48dc33a
68e7e5b7-4dc9-4609-832e-7656aa6182ba,Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor,10.1161/CIRCULATIONAHA.120.051921,99e317c0-1fab-4f73-b511-859e752fd1c3,51176,Homo sapiens,apical region of left ventricle,normal,10x 3' v3,nucleus,neuron,cardiac muscle cell|endothelial cell|erythrocyte|fibroblast|leukocyte|mesothelial cell of epicardium|neuron|smooth muscle cell,Neuron (generic),,,,1,https://datasets.cellxgene.cziscience.com/59c9aa5c-ee73-4252-b149-5cb011f924b1.h5ad,https://cellxgene.cziscience.com/collections/68e7e5b7-4dc9-4609-832e-7656aa6182ba
20eea6c8-9d64-42c9-9b6f-c11b5249e0e9,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,10.1038/s41467-023-40505-5,2e9d2f32-4cfb-49b5-b990-cbf4c241214e,49359,Homo sapiens,apex of heart|heart left ventricle|heart right ventricle|interventricular septum,normal,10x 3' v3,nucleus,cardiac neuron,cardiac endothelial cell|cardiac muscle cell|cardiac neuron|fibroblast of cardiac tissue|lymphocyte|myeloid cell|pericyte|smooth muscle cell,Cardiac neuron,,,,1,https://datasets.cellxgene.cziscience.com/f35a8c3f-b3a0-4373-a4cd-c937db7f7ec2.h5ad,https://cellxgene.cziscience.com/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9
1cbfb478-2c7f-4d15-b522-9f74e9fe52a8,Progressive plasticity during colorectal cancer metastasis,10.1038/s41586-024-08560-0,829a3cd1-a466-49f1-b2e9-d3f6b7f392e2,47107,Homo sapiens,caecum|chest wall|descending colon|hepatic flexure of colon|liver|lung|peritoneum|rectum|sigmoid colon|transverse colon,colorectal cancer|normal,10x 3' v3,cell,enteroendocrine cell of colon,BEST4+ colonocyte|colon goblet cell|colonocyte|early colonocyte|enteroendocrine cell of colon|intestinal crypt stem cell of colon|malignant cell|secretory cell|tuft cell of colon,,,,Enteroendocrine cell of colon,1,https://datasets.cellxgene.cziscience.com/81bd8922-b69a-45ea-9b2a-032c480c0e37.h5ad,https://cellxgene.cziscience.com/collections/1cbfb478-2c7f-4d15-b522-9f74e9fe52a8
625f6bf4-2f33-4942-962e-35243d284837,LungMAP — Human data from a broad age healthy donor group,10.7554/eLife.62522,3de0ad6d-4378-4f62-b37b-ec0b75a50d94,46500,Homo sapiens,lung,normal,10x 3' v3,nucleus,pulmonary neuroendocrine cell,B cell|T cell|alveolar macrophage|basal cell|blood vessel endothelial cell|chondrocyte|ciliated cell|club cell|dendritic cell|endothelial cell|endothelial cell of artery|enucleate erythrocyte|epithelial cell|fibroblast|goblet cell|macrophage|mast cell|monocyte|myofibroblast cell|natural killer cell|pericyte|pulmonary alveolar type 1 cell|pulmonary alveolar type 2 cell|pulmonary neuroendocrine cell|smooth muscle cell|unknown|vascular associated smooth muscle cell|vein endothelial cell,,,,Pulmonary neuroendocrine cell,1,https://datasets.cellxgene.cziscience.com/92167705-4b81-4c4b-a0b5-abe08910415e.h5ad,https://cellxgene.cziscience.com/collections/625f6bf4-2f33-4942-962e-35243d284837
3b8b7fec-ed65-4483-9579-9f98f5a93a74,Epithelium-enriched single cell transcriptomes from the ascending colon of pediatric and adult control subjects,10.1016/j.jcmgh.2025.101665,5d4415d1-cfcd-4b43-b2b2-138b5afd68af,35957,Homo sapiens,right colon,normal,10x 3' v3,cell,neuronal receptor cell,"B cell|CD4-positive, alpha-beta memory T cell|CD8-positive, alpha-beta memory T cell|endothelial cell|epithelial cell|fibroblast|macrophage|mast cell|mature NK T cell|monocyte|myofibroblast cell|neuronal receptor cell|plasma cell",Neuronal receptor cell,,,,1,https://datasets.cellxgene.cziscience.com/45566c3d-0484-4b2b-858b-8aea1783f21f.h5ad,https://cellxgene.cziscience.com/collections/3b8b7fec-ed65-4483-9579-9f98f5a93a74
33d19f34-87f5-455b-8ca5-9023a2e5453d,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,10.1016/j.cell.2019.06.029,4dd00779-7f73-4f50-89bb-e2d3c6b71b18,34772,Homo sapiens,caecum epithelium|colonic epithelium|transverse colon epithelium,normal,10x 3' v1|10x 3' v2,cell,enteroendocrine cell,"B cell|CD4-positive, alpha-beta T cell|CD4-positive, alpha-beta memory T cell|CD8-alpha-beta-positive, alpha-beta intraepithelial T cell|CD8-positive, alpha-beta thymocyte|M cell of gut|T cell|activated CD4-positive, alpha-beta T cell|dendritic cell|enterocyte|enteroendocrine cell|fibroblast|follicular B cell|goblet cell|innate lymphoid cell|intestinal crypt stem cell|intestinal tuft cell|macrophage|mast cell|natural killer cell|plasma cell|regulatory T cell|transit amplifying cell of colon",,,,Enteroendocrine cell,1,https://datasets.cellxgene.cziscience.com/774d77e7-210d-4237-8ca8-8d2bb841a2e4.h5ad,https://cellxgene.cziscience.com/collections/33d19f34-87f5-455b-8ca5-9023a2e5453d
35d0b748-3eed-43a5-a1c4-1dade5ec5ca0,Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19,10.1016/j.cell.2021.07.023,13b61a7d-5605-4948-ba48-02c588960143,32588,Homo sapiens,nasopharynx,COVID-19|long COVID-19|normal|respiratory failure,Seq-Well S3,cell,enteroendocrine cell,"B cell|CD8-positive, alpha-beta T cell|CD8-positive, alpha-beta cytotoxic T cell|M1 macrophage|T cell|basal cell|ciliated cell|dendritic cell|enteroendocrine cell|erythroblast|ionocyte|macrophage|mast cell|multiciliated epithelial cell|nasal mucosa goblet cell|plasmacytoid dendritic cell|secretory cell|squamous epithelial cell",,,,Enteroendocrine cell,1,https://datasets.cellxgene.cziscience.com/6a6db93e-901f-4054-90e0-14af5207978a.h5ad,https://cellxgene.cziscience.com/collections/35d0b748-3eed-43a5-a1c4-1dade5ec5ca0
fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,8b2e5453-faf7-46ea-9073-aea69b283cb7,28847,Homo sapiens,peripheral zone of prostate|transition zone of prostate,benign prostatic hyperplasia|normal,10x 3' v2,cell,neuroendocrine cell,basal cell of prostate epithelium|epithelial cell of urethra|leukocyte|luminal cell of prostate epithelium|neuroendocrine cell|prostate gland microvascular endothelial cell|prostate stromal cell|secretory cell|smooth muscle cell of prostate,,,,Neuroendocrine cell,1,https://datasets.cellxgene.cziscience.com/b11b78b1-af0f-45d2-986c-bfaaa96d1291.h5ad,https://cellxgene.cziscience.com/collections/fbc5881f-1ee3-4ffe-8095-35e15e1a08fc
e2a4a67f-6a18-431a-ab9c-6e77dd31cc80,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra,10.1016/j.celrep.2018.11.086,c3fe3c1e-5bf8-4678-b74a-79899243ad41,28702,Homo sapiens,peripheral zone of prostate|transition zone of prostate,normal,10x 3' v2,cell,neuroendocrine cell,basal cell of prostate epithelium|epithelial cell of urethra|fibroblast of connective tissue of prostate|leukocyte|luminal cell of prostate epithelium|neuroendocrine cell|prostate gland microvascular endothelial cell|secretory cell|smooth muscle cell of prostate,,,,Neuroendocrine cell,1,https://datasets.cellxgene.cziscience.com/13907b46-3c3c-4092-bb6d-7b3cdb0cf7a6.h5ad,https://cellxgene.cziscience.com/collections/e2a4a67f-6a18-431a-ab9c-6e77dd31cc80
120e86b4-1195-48c5-845b-b98054105eec,Spatiotemporal immune zonation of the human kidney,10.1126/science.aat5031,d7dcfd8f-2ee7-4385-b9ac-e074c23ed190,27197,Homo sapiens,kidney,normal,10x 3' v2,cell,neuron,"B cell|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|conventional dendritic cell|endothelial cell|epithelial cell of proximal tubule|erythroid lineage cell|fibroblast|kidney cell|kidney epithelial cell|kidney loop of Henle epithelial cell|lymphocyte|macrophage|mast cell|megakaryocyte|mesenchymal cell|mesenchymal stem cell|monocyte|myofibroblast cell|natural killer cell|neuron|neutrophil|plasmacytoid dendritic cell|podocyte",Neuron (generic),,,,1,https://datasets.cellxgene.cziscience.com/4ae88372-a0dc-4f9e-b93a-18ade11be813.h5ad,https://cellxgene.cziscience.com/collections/120e86b4-1195-48c5-845b-b98054105eec
59c9ecfe-c47d-4a6a-bab0-895cc0c1942b,Dysregulation of brain and choroid plexus cell types in severe COVID-19,10.1038/s41586-021-03710-0,595c9010-99ec-462d-b6a1-2b2fe5407871,27092,Homo sapiens,choroid plexus,COVID-19|aspiration pneumonia|influenza|malignant pancreatic neoplasm,10x 3' v3,nucleus,glial cell,cerebral cortex endothelial cell|choroid plexus epithelial cell|ependymal cell|glial cell|macrophage|mesenchymal cell|neural cell,,Glial cell (generic),,,1,https://datasets.cellxgene.cziscience.com/6dd04cc1-f4b6-49c4-b34c-56508ea8af8c.h5ad,https://cellxgene.cziscience.com/collections/59c9ecfe-c47d-4a6a-bab0-895cc0c1942b
2d42fb2f-e635-466e-a2f4-9ea34f2e0feb,Organoid modeling of human fetal lung alveolar development reveals mechanisms of cell fate patterning and neonatal respiratory disease,10.1016/j.stem.2022.11.013,43a1506b-aa9e-46a3-b288-d210f4595ddf,20475,Homo sapiens,lung epithelium,normal,10x 5' v1,cell,neuroendocrine cell of epithelium of lobar bronchus|pulmonary neuroendocrine cell,cycling pulmonary alveolar type 2 cell|epithelial cell of lung|fetal pre-type II pulmonary alveolar epithelial cell|neuroendocrine cell of epithelium of lobar bronchus|pulmonary alveolar type 1 cell|pulmonary alveolar type 2 cell|pulmonary neuroendocrine cell|respiratory basal cell,,,,Pulmonary neuroendocrine cell,1,https://datasets.cellxgene.cziscience.com/8dfa9273-352e-4b67-aea0-67a108f39a0f.h5ad,https://cellxgene.cziscience.com/collections/2d42fb2f-e635-466e-a2f4-9ea34f2e0feb
3db5617e-9f12-4eb4-8416-94893a0d7c46,Epithelial zonation along the mammalian small intestine defines five discrete metabolic domains,10.1038/s41556-023-01337-z,a5ab6cde-46d4-4667-9b32-cfce54fa7a4e,19847,Mus musculus,small intestine,normal,10x 3' v3,cell,enteroendocrine cell of small intestine,enterocyte of epithelium of small intestine|enteroendocrine cell of small intestine|paneth cell of epithelium of small intestine|small intestine goblet cell|stem cell|transit amplifying cell of small intestine|tuft cell of small intestine,,,,Enteroendocrine cell of small intestine,1,https://datasets.cellxgene.cziscience.com/3dfc4a1f-5683-4f2a-8a19-bedf27daa3e5.h5ad,https://cellxgene.cziscience.com/collections/3db5617e-9f12-4eb4-8416-94893a0d7c46
0e54d4de-44f0-4d50-8649-b5c2bbe8f5d1,Exploring the Utility of snRNA-seq in Profiling Human Bladder Tissue: A Comprehensive Comparison with scRNA-seq,10.1016/j.isci.2024.111628,2dd9d7a2-4bee-4c3f-a1f5-89bc3271c4f0,12964,Homo sapiens,urinary bladder,normal,10x 3' v3,cell|nucleus,Schwann cell,Schwann cell|endothelial cell|endothelial cell of artery|endothelial cell of lymphatic vessel|fibroblast|smooth muscle cell|vascular associated smooth muscle cell|vein endothelial cell,,Schwann cell,,,1,https://datasets.cellxgene.cziscience.com/ac25d153-eb19-4e0e-ba4f-dd5be7295994.h5ad,https://cellxgene.cziscience.com/collections/0e54d4de-44f0-4d50-8649-b5c2bbe8f5d1
64b24fda-6591-4ce1-89e7-33eb6c43ad7b,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,10.1016/j.jcmgh.2022.02.007,019c7af2-c827-4454-9970-44d5e39ce068,12590,Homo sapiens,ascending colon|descending colon|duodenum|ileum|jejunum|transverse colon,normal,10x 3' v3,cell,enteroendocrine cell of colon|enteroendocrine cell of small intestine,BEST4+ enterocyte|colon goblet cell|enterocyte of epithelium of large intestine|enterocyte of epithelium of small intestine|enteroendocrine cell of colon|enteroendocrine cell of small intestine|epithelial cell of small intestine|intestinal crypt stem cell of colon|intestinal crypt stem cell of small intestine|intestinal tuft cell|microfold cell of epithelium of small intestine|paneth cell of epithelium of small intestine|progenitor cell|small intestine goblet cell|transit amplifying cell of colon|transit amplifying cell of small intestine|tuft cell of colon,,,,Enteroendocrine cell of colon; Enteroendocrine cell of small intestine,1,https://datasets.cellxgene.cziscience.com/487be01d-3df6-417f-83c5-ad2bff5c46e7.h5ad,https://cellxgene.cziscience.com/collections/64b24fda-6591-4ce1-89e7-33eb6c43ad7b
a96133de-e951-4e2d-ace6-59db8b3bfb1d,HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,10.1038/s41591-024-03215-z,71513028-e4a0-4c62-a435-16598791690a,12258,Homo sapiens,liver,breast cancer,10x 3' v3,nucleus,neuron,T cell|blood vessel endothelial cell|blood vessel smooth muscle cell|endothelial cell of hepatic sinusoid|fibroblast|hepatic stellate cell|hepatocyte|macrophage|malignant cell|mature NK T cell|neuron,Neuron (generic),,,,1,https://datasets.cellxgene.cziscience.com/79a15872-c7b9-402b-8e0c-a9dd669c366b.h5ad,https://cellxgene.cziscience.com/collections/a96133de-e951-4e2d-ace6-59db8b3bfb1d
f5af7a2f-ab4c-4728-829e-48efb9562105,Single cell RNA sequencing of paw skin from healthy and Col7a1 knockout (RDEB) mice,10.3389/fimmu.2023.1211505,7be2824e-d62a-42ef-9169-084555c6df87,9816,Mus musculus,autopod skin,epidermolysis bullosa|normal,10x 3' v3,cell,Schwann cell,Schwann cell|chondrocyte|endothelial cell|fibroblast|fibroblast of lymphatic vessel|innate lymphoid cell|keratinocyte|mast cell|neutrophil|pericyte|professional antigen presenting cell,,Schwann cell,,,1,https://datasets.cellxgene.cziscience.com/2965d8bb-05c5-40a1-bb03-c0b568cb1919.h5ad,https://cellxgene.cziscience.com/collections/f5af7a2f-ab4c-4728-829e-48efb9562105
92db8a7e-8761-4317-873f-15606c016ce5,A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease,10.1038/s44318-024-00328-6,781cc817-3fd0-487c-a55a-b47b2786a05d,9619,Homo sapiens,lung,normal,10x 5' v1,cell,pulmonary neuroendocrine cell,basal cell|lung multiciliated epithelial cell|pulmonary alveolar type 2 cell|pulmonary neuroendocrine cell|respiratory tract epithelial cell,,,,Pulmonary neuroendocrine cell,1,https://datasets.cellxgene.cziscience.com/89a17e6a-bbb0-4a9a-b2b4-3bafd89277a8.h5ad,https://cellxgene.cziscience.com/collections/92db8a7e-8761-4317-873f-15606c016ce5
ec329aed-22bc-4d6e-8935-8282dcb1acac,Early human lung immune cell development and its role in epithelial cell fate,10.1126/sciimmunol.adf9988,8dc858b0-b076-4326-94bb-7c2d1cd721a3,8556,Homo sapiens,lung,normal,10x 5' transcription profiling,cell,pulmonary neuroendocrine cell,pulmonary alveolar epithelial cell|pulmonary alveolar type 2 cell|pulmonary neuroendocrine cell|respiratory tract epithelial cell,,,,Pulmonary neuroendocrine cell,1,https://datasets.cellxgene.cziscience.com/2ebaaba9-0401-46a8-a242-f44f333ddb0d.h5ad,https://cellxgene.cziscience.com/collections/ec329aed-22bc-4d6e-8935-8282dcb1acac
bd3f7d45-43a0-4944-8327-62d6c89e2ae1,Single-Cell Transcriptomic Profiling of Human Dental Pulp in Sound and Carious Teeth: A Pilot Study,10.3389/fdmed.2021.806294,bdd109f1-ca27-45dc-bb9f-473008449428,6560,Homo sapiens,dental pulp,enamel caries|normal|pulpitis,10x 3' v2,cell,Schwann cell|glial cell,B cell|Schwann cell|T cell|dendritic cell|endothelial cell|fibroblast|glial cell|hematopoietic stem cell|macrophage|natural killer cell|non-classical monocyte|odontoblast|plasma cell,,Schwann cell; Glial cell (generic),,,1,https://datasets.cellxgene.cziscience.com/c184cf5a-2c44-4908-96d9-165dd5e07f07.h5ad,https://cellxgene.cziscience.com/collections/bd3f7d45-43a0-4944-8327-62d6c89e2ae1
ff668d5d-5b3f-49ee-a007-ff0664bf35ec,Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,10.1084/jem.20191130,248cf7bf-508b-4c28-a2fd-cabe2ab956aa,5980,Homo sapiens,ileum,normal,10x 3' v2,cell,enteroendocrine cell of colon,colon goblet cell|colonocyte|enteroendocrine cell of colon|paneth cell of colon|progenitor cell|stem cell|transit amplifying cell of colon,,,,Enteroendocrine cell of colon,1,https://datasets.cellxgene.cziscience.com/685f053a-2204-489a-b166-1d0190406be6.h5ad,https://cellxgene.cziscience.com/collections/ff668d5d-5b3f-49ee-a007-ff0664bf35ec
a238e9fa-2bdf-41df-8522-69046f99baff,Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns,10.1016/j.cell.2017.09.004,66d15835-5dc8-4e96-b0eb-f48971cb65e8,2544,Homo sapiens,islet of Langerhans,normal,Smart-seq2,cell,type A enteroendocrine cell|type D enteroendocrine cell,acinar cell|mesenchymal cell|pancreatic ductal cell|type A enteroendocrine cell|type B pancreatic cell|type D enteroendocrine cell|unknown,,,,Type D enteroendocrine cell,1,https://datasets.cellxgene.cziscience.com/08d4b9cf-3425-4413-a30f-8f97fe87b1e1.h5ad,https://cellxgene.cziscience.com/collections/a238e9fa-2bdf-41df-8522-69046f99baff
741abcf7-af4b-425d-88db-7e0b0d845719,Single-nucleus transcriptomic analysis of human dorsal root ganglion neurons.,10.7554/eLife.71752,d973ea15-3722-4bc8-a0e8-1d956d26e203,1837,Homo sapiens,dorsal root ganglion,normal,10x 3' v2|10x 3' v3,nucleus,sensory neuron of dorsal root ganglion,sensory neuron of dorsal root ganglion,Sensory neuron (DRG),,,,1,https://datasets.cellxgene.cziscience.com/cf1271ef-08be-46dd-b39e-90c3aa72755e.h5ad,https://cellxgene.cziscience.com/collections/741abcf7-af4b-425d-88db-7e0b0d845719
