collection_id,collection_name,doi,dataset_id,cell_count,species,tissue,disease,assay,suspension,matched_cell_types,all_cell_types,_tier_1,_tier_2,_tier_3,_tier_4,_tier_count,assets,collection_url
34f12de7-c5e5-4813-a136-832677f98ac8,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,10.1073/pnas.2313326120,e7c5ba7e-4be0-4696-af50-a07d0dc7aac5,152189,Homo sapiens,arm skin|nose skin|skin of abdomen|skin of cheek|skin of external ear|skin of forehead|skin of temple,basal cell carcinoma|normal,10x 3' v1|10x 3' v2|10x 3' v3,cell,Schwann cell,"CD8-positive, alpha-beta memory T cell, CD45RO-positive|Schwann cell|basal cell|basal cell of epidermis|cell of skeletal muscle|chondrocyte|conventional dendritic cell|cytotoxic T cell|dendritic cell|endothelial cell of lymphatic vessel|endothelial cell of vascular tree|fibroblast|helper T cell|innate lymphoid cell|macrophage|mast cell|melanocyte of skin|monocyte|natural killer cell|pericyte|plasma cell|plasmacytoid dendritic cell|regulatory T cell|smooth muscle cell|suprabasal keratinocyte",,Schwann cell,,,1,https://datasets.cellxgene.cziscience.com/82515193-f68f-49f1-923e-d10a2b798b42.h5ad,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8
e4c9ed14-e560-4900-a3bf-b0f8d2ce6a10,A molecular single-cell lung atlas of lethal COVID-19,10.1038/s41586-021-03569-1,d8da613f-e681-4c69-b463-e94f5e66847f,116313,Homo sapiens,lung,COVID-19|normal,10x 3' v3,nucleus,neuron,"B cell|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|alveolar adventitial fibroblast|alveolar macrophage|brush cell of tracheobronchial tree|capillary endothelial cell|club cell|dendritic cell|endothelial cell|endothelial cell of artery|epithelial cell|fibroblast|lung goblet cell|lung multiciliated epithelial cell|macrophage|mast cell|mesothelial fibroblast|monocyte|mucus secreting cell|natural killer cell|neuron|pericyte|plasma cell|pulmonary alveolar type 2 cell|regulatory T cell|respiratory basal cell|tracheobronchial smooth muscle cell|vascular associated smooth muscle cell|vein endothelial cell",Neuron (generic),,,,1,https://datasets.cellxgene.cziscience.com/1792df55-7cfe-4564-afcf-4bb3ffb73bc0.h5ad,https://cellxgene.cziscience.com/collections/e4c9ed14-e560-4900-a3bf-b0f8d2ce6a10
793fdaec-5067-428a-a9db-ecefe135c945,Blood and immune development in human fetal bone marrow and Down syndrome,10.1038/s41586-021-03929-x,1a2e3350-28a8-4f49-b33c-5b67ceb001f6,103228,Homo sapiens,bone marrow,normal,10x 3' v2|10x 5' v1,cell,Schwann cell,"CD14-positive monocyte|CD16-negative, CD56-bright natural killer cell, human|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|Schwann cell|adipocyte|basophil|basophil mast progenitor cell|chondrocyte|common dendritic progenitor|common myeloid progenitor|dendritic cell|early lymphoid progenitor|endosteal cell|endothelial cell|endothelial cell of sinusoid|endothelial tip cell|eosinophil|erythrocyte|fibroblast|fraction A pre-pro B cell|granulocyte monocyte progenitor cell|hematopoietic multipotent progenitor cell|immature B cell|immature innate lymphoid cell|immature natural killer cell|lymphoid lineage restricted progenitor cell|macrophage|macrophage dendritic cell progenitor|mast cell|mature NK T cell|megakaryocyte|megakaryocyte-erythroid progenitor cell|muscle cell|muscle precursor cell|myelocyte|myeloid lineage restricted progenitor cell|myofibroblast cell|naive B cell|natural killer cell|neutrophil|osteoblast|osteoclast|plasmacytoid dendritic cell|precursor B cell|precursor cell|preosteoblast|primitive red blood cell|pro-B cell|progenitor cell|promonocyte|promyelocyte|regulatory T cell",,Schwann cell,,,1,https://datasets.cellxgene.cziscience.com/47362a52-4a8c-48ae-8968-00d4e57d1dfc.h5ad,https://cellxgene.cziscience.com/collections/793fdaec-5067-428a-a9db-ecefe135c945
54004c5c-af08-4693-a606-73871b6ef989,Cystic Fibrosis and healthy control biopsy,10.1016/j.jcf.2025.01.016,1ab4ebbc-18d6-4838-89c2-cdc5b10accfb,96479,Homo sapiens,carina of trachea|respiratory tube,cystic fibrosis|normal,10x 3' v2|10x 3' v3,cell,pulmonary neuroendocrine cell,"B cell|CD4-positive helper T cell|CD8-positive, alpha-beta T cell|alveolar adventitial fibroblast|alveolar type 1 fibroblast cell|basal cell|bronchial goblet cell|club cell|cytotoxic T cell|dendritic cell, human|endocardial cell|epithelial cell of lung|fibroblast of lung|innate lymphoid cell|ionocyte|macrophage|mast cell|mature T cell|monocyte|mucus secreting cell of bronchus submucosal gland|nasal mucosa goblet cell|natural killer cell|non-classical monocyte|pericyte|plasma cell|pulmonary neuroendocrine cell|respiratory tract goblet cell|respiratory tract multiciliated cell|respiratory tract suprabasal cell|secretory cell|stromal cell",,,,Pulmonary neuroendocrine cell,1,https://datasets.cellxgene.cziscience.com/08530c67-a192-4d76-bfe5-b7834e8da231.h5ad,https://cellxgene.cziscience.com/collections/54004c5c-af08-4693-a606-73871b6ef989
afd343f4-bb60-4632-9902-73a4a1ff1557,A poly(A) isoform–aware single-cell and spatial atlas defines fibroblast niches in the human bladder,10.64898/2025.12.18.695268,fb5eeccf-3c2a-473c-b6e3-7a1dda18d42d,74694,Homo sapiens,dome of urinary bladder|neck of urinary bladder|ureteral orifice|ureterovesical junction,normal,10x 3' v3,nucleus,Schwann cell,Schwann cell|T cell|adipocyte|dendritic cell|endothelial cell of artery|endothelial cell of lymphatic vessel|fibroblast|macrophage|mast cell|mature NK T cell|monocyte|plasma cell|smooth muscle cell|urothelial cell|vascular associated smooth muscle cell|vein endothelial cell,,Schwann cell,,,1,https://datasets.cellxgene.cziscience.com/1352a8d5-e392-4e1d-8acd-c47f3c93f22e.h5ad,https://cellxgene.cziscience.com/collections/afd343f4-bb60-4632-9902-73a4a1ff1557
6b701826-37bb-4356-9792-ff41fc4c3161,Single-Nucleus Analysis of Human White Adipose Tissue Reveals Adipocyte Subsets with Distinct Metabolic Profiles,10.1101/2025.09.14.673351,9d8e5dca-03a3-457d-b7fb-844c75735c83,72335,Homo sapiens,subcutaneous abdominal adipose tissue|visceral abdominal adipose tissue,normal,10x 3' v3,nucleus,Schwann cell|neuron associated cell,Schwann cell|adipocyte|endothelial cell|endothelial cell of lymphatic vessel|fibro/adipogenic progenitor cell|hematopoietic cell|lymphocyte|macrophage|mast cell|mesothelial cell|myeloid cell|neuron associated cell|pericyte|smooth muscle cell|unknown,,Schwann cell,,,1,https://datasets.cellxgene.cziscience.com/3d0f967f-ad82-4470-a46d-6d156ad13e42.h5ad,https://cellxgene.cziscience.com/collections/6b701826-37bb-4356-9792-ff41fc4c3161
bdac7a53-fe34-4f04-8c46-f9bd5297c099,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,10.1101/2024.10.23.619925,881e0e6b-a185-45f1-9b56-81606e91e7ff,68322,Homo sapiens,prostate gland,prostatic acinar adenocarcinoma,10x 3' v3,cell,glial cell|myelinating Schwann cell|prostate neuroendocrine cell,B cell|T cell|basal cell of prostate epithelium|ciliated epithelial cell|club-like cell of the urethral epithelium|cytotoxic T cell|endothelial cell|endothelial cell of lymphatic vessel|epithelial cell of prostate|fibroblast of connective tissue of prostate|glial cell|luminal cell of prostate epithelium|macrophage|mast cell|monocyte|myelinating Schwann cell|myeloid cell|natural killer cell|pericyte|plasma cell|plasmacytoid dendritic cell|prostate neuroendocrine cell|regulatory T cell|smooth muscle cell of prostate|unknown|vascular associated smooth muscle cell|vein endothelial cell,,Glial cell (generic); Myelinating Schwann cell,,,1,https://datasets.cellxgene.cziscience.com/68b23fda-7191-46a5-8870-819feca3e66e.h5ad,https://cellxgene.cziscience.com/collections/bdac7a53-fe34-4f04-8c46-f9bd5297c099
a261413d-835b-4f1e-ab0c-dada55ea6afd,Identification of distinct tumor cell populations and key genetic mechanisms through single cell sequencing in hepatoblastoma,10.1038/s42003-021-02562-8,ec6ceff8-c8bc-488d-b6bf-30df2fa92169,67110,Homo sapiens,liver,blastoma|normal,10x 3' v3,nucleus,neuron,B cell|Kupffer cell|cholangiocyte|endothelial cell|erythrocyte|hepatic stellate cell|hepatocyte|lymphocyte|mature NK T cell|neoplastic cell|neuron,Neuron (generic),,,,1,https://datasets.cellxgene.cziscience.com/d66d154b-5ff6-4b1a-b25e-376cf4784bb7.h5ad,https://cellxgene.cziscience.com/collections/a261413d-835b-4f1e-ab0c-dada55ea6afd
5d445965-6f1a-4b68-ba3a-b8f765155d3a,A molecular cell atlas of the human lung from single cell RNA sequencing,10.1038/s41586-020-2922-4,8c42cfd0-0b0a-46d5-910c-fc833d83c45e,65662,Homo sapiens,blood|lung,normal,10x 3' v2,cell,pulmonary neuroendocrine cell,"B cell|CD1c-positive myeloid dendritic cell|alveolar macrophage|basal cell|bronchial smooth muscle cell|capillary endothelial cell|ciliated cell|classical monocyte|club cell|dendritic cell|effector memory CD4-positive, alpha-beta T cell|effector memory CD8-positive, alpha-beta T cell|endothelial cell|endothelial cell of artery|endothelial cell of lymphatic vessel|epithelial cell|fibroblast|intermediate monocyte|lung goblet cell|lung multiciliated epithelial cell|lymphocyte|macrophage|mature NK T cell|megakaryocyte|mesothelial cell of pleura|monocyte|mucus secreting cell|myeloid dendritic cell, human|myeloid leukocyte|myofibroblast cell|naive thymus-derived CD4-positive, alpha-beta T cell|naive thymus-derived CD8-positive, alpha-beta T cell|natural killer cell|non-classical monocyte|pericyte|plasma cell|plasmacytoid dendritic cell, human|pulmonary alveolar type 1 cell|pulmonary alveolar type 2 cell|pulmonary interstitial fibroblast|pulmonary ionocyte|pulmonary neuroendocrine cell|respiratory basal cell|tracheobronchial serous cell|vascular associated smooth muscle cell|vein endothelial cell",,,,Pulmonary neuroendocrine cell,1,https://datasets.cellxgene.cziscience.com/f5568ea3-c249-4e4e-91f8-46abc30a5612.h5ad,https://cellxgene.cziscience.com/collections/5d445965-6f1a-4b68-ba3a-b8f765155d3a
a48f5033-3438-4550-8574-cdff3263fdfd,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,10.1016/j.cell.2021.11.031,e40c6272-af77-4a10-9385-62a398884f27,65088,Homo sapiens,ascending colon|descending colon|hepatic cecum|hepatic flexure of colon|rectum|sigmoid colon|transverse colon,colon sessile serrated adenoma/polyp|colorectal neoplasm|hyperplastic polyp|normal|tubular adenoma|tubulovillous adenoma,TruDrop,cell,intestinal enteroendocrine cell,abnormal cell|goblet cell|gut absorptive cell|intestinal crypt stem cell of colon|intestinal enteroendocrine cell|intestinal epithelial cell|neoplastic cell|transit amplifying cell|tuft cell,,,,Intestinal enteroendocrine cell,1,https://datasets.cellxgene.cziscience.com/9da034b0-de48-47ab-97f6-21b5f2dbd1a4.h5ad,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd
